fecha,bodega_id,temperatura_c,humedad_pct,ocupacion_pct,alertas_dia,consumo_kwh
2026-04-22,CAL-03,10.2,52,73,4,1856
2026-04-23,MED-02,9.6,59,43,3,1208
2026-04-24,BAQ-04,6.9,29,60,2,1622
2026-04-25,CAL-03,11.2,56,89,1,2229
2026-04-26,BOG-01,11.1,47,85,1,2108
2026-04-27,BOG-01,14.7,74,65,2,1592
2026-04-28,CAL-03,6.3,81,67,4,1778
2026-04-29,BOG-01,7.8,63,70,3,1839
2026-04-30,BAQ-04,12.3,64,83,2,1900
2026-05-01,MED-02,4.9,69,89,6,2185
2026-05-02,MED-02,8.9,69,72,2,1862
2026-05-03,CAL-03,8.8,39,71,3,1843
2026-05-04,BOG-01,8.3,41,67,3,1704
2026-05-05,BOG-01,5.3,50,73,3,1894
2026-05-06,BAQ-04,8.3,40,94,1,2238
2026-05-07,CAL-03,3.7,52,58,0,1707
2026-05-08,MED-02,11.7,57,78,2,1879
2026-05-09,MED-02,6.7,46,51,1,1435
2026-05-10,MED-02,8.6,61,52,4,1419
2026-05-11,MED-02,8.1,73,43,2,1161
2026-05-12,BAQ-04,8.7,56,59,0,1367
2026-05-13,BAQ-04,8.5,61,90,0,2109
2026-05-14,BOG-01,9.4,55,92,1,2407
2026-05-15,CAL-03,7.0,55,80,2,1957
2026-05-16,BOG-01,8.2,49,67,1,1762
2026-05-17,BAQ-04,4.8,42,84,0,2114
2026-05-18,BAQ-04,5.0,62,52,1,1581
2026-05-19,CAL-03,5.5,68,47,2,1317
2026-05-20,BOG-01,5.1,55,55,3,1430
2026-05-21,MED-02,4.0,57,65,5,1600
2026-05-22,BOG-01,6.2,39,41,0,1329
2026-05-23,BOG-01,9.9,52,56,1,1532
2026-05-24,BOG-01,9.3,59,93,2,2045
2026-05-25,MED-02,6.8,54,65,0,1709
2026-05-26,CAL-03,9.0,56,62,3,1556
2026-05-27,BAQ-04,9.2,43,58,1,1519
2026-05-28,MED-02,16.0,40,78,2,1772
2026-05-29,CAL-03,3.3,52,77,5,2046
2026-05-30,CAL-03,8.8,73,69,1,1883
2026-05-31,BOG-01,4.2,50,65,2,1771
2026-06-01,BAQ-04,11.8,37,35,2,1066
2026-06-02,MED-02,7.4,47,45,5,1349
2026-06-03,BOG-01,9.4,53,61,1,1565
2026-06-04,MED-02,8.7,69,59,1,1531
2026-06-05,BAQ-04,10.2,68,62,2,1677
2026-06-06,BOG-01,-0.6,45,60,1,1834
2026-06-07,CAL-03,4.7,43,93,2,2359
2026-06-08,MED-02,8.4,52,84,0,2056
2026-06-09,CAL-03,4.1,55,51,4,1543
2026-06-10,BAQ-04,9.8,43,78,2,1998
2026-06-11,BOG-01,11.8,66,72,2,1791
2026-06-12,MED-02,4.3,50,66,5,1733
2026-06-13,BOG-01,6.8,58,63,1,1723
2026-06-14,BAQ-04,10.0,52,72,3,1710
2026-06-15,BOG-01,13.5,61,94,3,2247
2026-06-16,BOG-01,11.1,53,59,2,1456
2026-06-17,MED-02,10.3,58,64,1,1555
2026-06-18,BAQ-04,5.5,69,65,2,1716
2026-06-19,MED-02,8.2,57,42,1,1155
2026-06-20,MED-02,8.5,72,67,1,1715
2026-06-21,MED-02,6.3,40,55,3,1546
2026-06-22,BOG-01,9.4,52,71,2,1774
2026-06-23,BAQ-04,7.2,42,73,1,1884
2026-06-24,MED-02,6.8,38,94,2,2388
2026-06-25,CAL-03,14.5,54,64,3,1586
2026-06-26,BOG-01,7.6,77,63,0,1617
2026-06-27,MED-02,13.7,57,78,0,1882
